City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,1.46,60,36,0.79,US,1733176930
1,albany,42.6001,-73.9662,-0.62,69,47,0.89,US,1733176692
2,namibe,-15.1961,12.1522,20.65,79,24,1.9,AO,1733176932
3,port-aux-francais,-49.35,70.2167,6.4,97,100,8.5,TF,1733176934
4,vorgashor,67.5833,63.95,-7.22,95,100,6.59,RU,1733176935
5,suncho corral,-27.9336,-63.4294,24.19,40,20,4.84,AR,1733176936
6,thompson,55.7435,-97.8558,-22.91,84,40,1.03,CA,1733176937
7,waitangi,-43.9535,-176.5597,13.43,83,100,4.11,NZ,1733176938
8,linxia chengguanzhen,35.6003,103.2064,-4.96,81,11,0.9,CN,1733176939
9,colonia,50.9333,6.95,8.36,87,75,3.09,DE,1733176825
10,grytviken,-54.2811,-36.5092,1.91,99,100,3.08,GS,1733176942
11,puerto natales,-51.7236,-72.4875,11.25,54,75,8.75,CL,1733176934
12,port-cartier,50.0334,-66.8654,-4.66,81,94,3.13,CA,1733176944
13,bengkulu,-3.8004,102.2655,24.12,95,100,4.76,ID,1733176945
14,pisco,-13.7,-76.2167,22.03,73,0,2.57,PE,1733176946
15,port mathurin,-19.6833,63.4167,24.57,76,1,6.42,MU,1733176948
16,sitka,57.0531,-135.33,8.94,93,100,2.57,US,1733176674
17,pamandzi,-12.7967,45.2794,25.88,83,0,1.54,YT,1733176950
18,cadale,2.7603,46.3222,26.35,71,83,8.33,SO,1733176952
19,palasa,18.7667,84.4167,22.75,80,98,3.03,IN,1733176953
20,alaghsas,17.0187,8.0168,18.82,19,45,4.98,NE,1733176954
21,kumagunnam,13.1551,10.6342,18.31,22,51,4.47,NG,1733176956
22,ilulissat,69.2167,-51.1,-9.99,73,40,3.6,GL,1733176957
23,adamstown,-25.066,-130.1015,23.26,82,100,5.68,PN,1733176958
24,katsuren-haebaru,26.3369,127.8719,20.01,79,20,2.06,JP,1733176959
25,constantia,44.1833,28.65,3.38,72,81,4.64,RO,1733176960
26,labytnangi,66.6572,66.4183,-11.43,96,100,1.29,RU,1733176961
27,walvis bay,-22.9575,14.5053,14.53,88,8,1.54,NA,1733176962
28,mata-utu,-13.2816,-176.1745,28.31,78,53,6.2,WF,1733176964
29,bulgan,48.8125,103.5347,-11.0,77,11,0.93,MN,1733176965
30,margaret river,-33.95,115.0667,17.63,76,98,5.53,AU,1733176897
31,bodo,67.28,14.405,-0.98,86,75,15.43,NO,1733176967
32,bilibino,68.0546,166.4372,-18.26,99,100,0.53,RU,1733176968
33,new norfolk,-42.7826,147.0587,16.62,99,100,0.4,AU,1733176970
34,stanley,54.868,-1.6985,2.01,94,75,3.6,GB,1733176972
35,iskateley,67.6803,53.1512,2.5,98,100,10.42,RU,1733176973
36,ushuaia,-54.8,-68.3,8.81,71,75,11.83,AR,1733176720
37,san antonio de pale,-1.4014,5.6325,26.26,84,97,4.04,GQ,1733176883
38,tiksi,71.6872,128.8694,-23.22,99,31,3.09,RU,1733176976
39,ixtapa,20.7,-105.2,30.42,45,1,2.73,MX,1733176817
40,hawaiian paradise park,19.5933,-154.9731,26.05,79,3,1.34,US,1733176978
41,saipan,15.1355,145.701,28.39,94,75,5.66,MP,1733176980
42,puerto ayora,-0.7393,-90.3518,22.21,81,74,3.93,EC,1733176981
43,volzhskiy,48.7858,44.7797,-0.43,77,100,2.21,RU,1733176878
44,blackmans bay,-43.0167,147.3167,15.96,94,100,0.45,AU,1733176984
45,gounou gaya,9.6294,15.5132,21.73,26,88,2.39,TD,1733176985
46,baiti,13.745,-14.7482,26.93,16,100,3.2,SN,1733176986
47,labrador city,52.9463,-66.9114,-8.05,73,75,5.14,CA,1733176814
48,guingamp,48.4167,-3.3333,6.14,76,96,2.65,FR,1733176989
49,bredasdorp,-34.5322,20.0403,19.32,79,92,5.87,ZA,1733176990
50,tazovsky,67.4667,78.7,-18.29,96,77,4.16,RU,1733176991
51,ust-nera,64.5667,143.2,-23.31,99,84,0.93,RU,1733176992
52,kirensk,57.7853,108.1119,-33.41,99,6,0.77,RU,1733176993
53,barclayville,4.6797,-8.2339,25.55,85,15,1.98,LR,1733176995
54,sola,-13.8833,167.55,28.37,79,75,0.0,VU,1733176996
55,nadi,-17.8,177.4167,28.0,74,75,1.03,FJ,1733176709
56,santiago de cao,-7.9589,-79.2392,20.07,77,40,4.63,PE,1733176998
57,yueyang,29.3333,113.0919,14.48,39,94,5.21,CN,1733176999
58,port elizabeth,-33.918,25.5701,19.16,95,0,1.54,ZA,1733176876
59,zouerate,22.7187,-12.4521,19.53,19,26,3.7,MR,1733177004
60,ola,59.5833,151.2833,-8.32,81,76,4.65,RU,1733177005
61,keflavik,64.0049,-22.5624,3.24,100,100,19.55,IS,1733177006
62,aasiaat,68.7098,-52.8699,-12.76,82,100,1.11,GL,1733177007
63,edinburgh of the seven seas,-37.0676,-12.3116,15.39,88,32,10.28,SH,1733177008
64,vytegra,61.0064,36.4481,2.52,80,87,4.41,RU,1733177010
65,flying fish cove,-10.4217,105.6791,27.78,77,76,3.25,CX,1733177011
66,kargasok,59.0556,80.8572,-9.53,96,93,3.05,RU,1733177012
67,sierra grande,-41.606,-65.3557,16.71,20,68,7.54,AR,1733177013
68,kapa'a,22.0752,-159.319,27.49,70,73,0.89,US,1733177014
69,papatowai,-46.5619,169.4708,18.67,66,100,3.38,NZ,1733177015
70,ippy,6.2679,21.2247,23.96,34,7,1.47,CF,1733177017
71,hitachi,36.6,140.65,10.63,79,0,1.93,JP,1733176943
72,tavda,58.0425,65.2726,-1.76,91,100,4.4,RU,1733177019
73,saurimo,-9.6608,20.3916,18.68,95,70,1.77,AO,1733177020
74,anadyr,64.75,177.4833,-14.72,92,0,6.0,RU,1733177021
75,iqaluit,63.7506,-68.5145,-25.73,68,20,3.09,CA,1733177022
76,makokou,0.5738,12.8642,22.45,88,60,1.14,GA,1733177023
77,portland,45.5234,-122.6762,9.34,65,20,5.36,US,1733177025
78,hasaki,35.7333,140.8333,13.62,69,0,3.76,JP,1733177026
79,lebu,-37.6167,-73.65,13.29,70,0,10.36,CL,1733177027
80,lihue,21.9789,-159.3672,27.08,70,77,5.62,US,1733177028
81,vila do maio,15.1333,-23.2167,24.99,67,83,5.46,CV,1733177029
82,rongelap,11.1635,166.8941,27.94,76,43,10.19,MH,1733177030
83,izhmorskiy,56.194,86.6414,-9.35,89,100,7.56,RU,1733177032
84,changde,29.0464,111.6783,12.65,44,78,4.25,CN,1733177033
85,kalevala,65.2,31.1667,-2.34,77,100,2.8,RU,1733177034
86,plettenberg bay,-34.0527,23.3716,17.27,73,13,3.13,ZA,1733177035
87,polyarnyy,69.1989,33.4478,0.29,81,100,4.81,RU,1733177036
88,mount pearl,47.5166,-52.7813,3.86,91,100,2.06,CA,1733177037
89,el granada,37.5027,-122.4694,19.51,48,0,2.57,US,1733177038
90,nyurba,63.2842,118.3319,-28.42,96,99,2.05,RU,1733177040
91,tarrafal,15.2833,-23.7667,24.87,69,81,6.12,CV,1733177041
92,colatina,-19.5394,-40.6306,26.11,85,69,0.6,BR,1733176871
93,invercargill,-46.4,168.35,21.68,79,79,3.58,NZ,1733177043
94,tanguieta,10.6212,1.2665,24.4,25,36,2.06,BJ,1733177044
95,susuman,62.7833,148.1667,-20.94,100,96,0.08,RU,1733177045
96,kone,-21.0595,164.8658,29.57,50,0,1.96,NC,1733177047
97,olonkinbyen,70.9221,-8.7187,-9.68,54,100,2.71,SJ,1733177048
98,punta arenas,-53.15,-70.9167,10.06,66,40,12.86,CL,1733176753
99,puerto princesa,9.7392,118.7353,25.99,89,20,2.06,PH,1733177050
100,yellowknife,62.456,-114.3525,-18.71,84,100,6.17,CA,1733176964
101,al jawf,29.5,38.75,12.25,48,0,3.8,SA,1733177054
102,howrah,22.5892,88.3103,21.0,73,40,3.09,IN,1733177031
103,praya,14.9215,-23.5087,24.13,68,79,5.64,CV,1733177056
104,kapuskasing,49.4169,-82.4331,-4.0,93,100,6.69,CA,1733177057
105,bardai,11.65,7.2333,18.52,24,0,4.03,NG,1733177058
106,pariyapuram,10.9561,76.1916,23.27,100,100,0.59,IN,1733177059
